"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
36,200,0.02,"Fixed point linearization","fix","sigma[2]",0.500030757607758,0.5
37,200,0.02,"Fixed point linearization","fix","epsilon",0.0512337840767192,0.1
37,200,0.02,"Fixed point linearization","fix","alpha",0.507576542778321,0.5
37,200,0.02,"Fixed point linearization","fix","gamma",2.94975210572283,1.5
37,200,0.02,"Fixed point linearization","fix","beta",-0.849752219346976,1.4
37,200,0.02,"Fixed point linearization","fix","sigma[1]",0.321811616943049,0.3
37,200,0.02,"Fixed point linearization","fix","sigma[2]",0.644391181965936,0.5
38,200,0.02,"Fixed point linearization","fix","epsilon",0.05267520315269,0.1
38,200,0.02,"Fixed point linearization","fix","alpha",0.507514032434847,0.5
38,200,0.02,"Fixed point linearization","fix","gamma",1.09150234650256,1.5
38,200,0.02,"Fixed point linearization","fix","beta",0.219622367187897,1.4
38,200,0.02,"Fixed point linearization","fix","sigma[1]",0.328808838340237,0.3
38,200,0.02,"Fixed point linearization","fix","sigma[2]",0.511537434575686,0.5
39,200,0.02,"Fixed point linearization","fix","epsilon",0.0506325276077273,0.1
39,200,0.02,"Fixed point linearization","fix","alpha",0.500851498335151,0.5
39,200,0.02,"Fixed point linearization","fix","gamma",1.01000015640652,1.5
39,200,0.02,"Fixed point linearization","fix","beta",0.246470969975497,1.4
39,200,0.02,"Fixed point linearization","fix","sigma[1]",0.313138060048735,0.3
39,200,0.02,"Fixed point linearization","fix","sigma[2]",0.424808383508514,0.5
40,200,0.02,"Fixed point linearization","fix","epsilon",0.0513011020939683,0.1
40,200,0.02,"Fixed point linearization","fix","alpha",0.505564342987187,0.5
40,200,0.02,"Fixed point linearization","fix","gamma",1.26195040224424,1.5
40,200,0.02,"Fixed point linearization","fix","beta",0.090955030685139,1.4
40,200,0.02,"Fixed point linearization","fix","sigma[1]",0.325489552415277,0.3
40,200,0.02,"Fixed point linearization","fix","sigma[2]",0.501780666134413,0.5
41,200,0.02,"Fixed point linearization","fix","epsilon",0.052889290244579,0.1
41,200,0.02,"Fixed point linearization","fix","alpha",0.487249752791382,0.5
41,200,0.02,"Fixed point linearization","fix","gamma",1.87686057848553,1.5
41,200,0.02,"Fixed point linearization","fix","beta",-0.411625757080151,1.4
41,200,0.02,"Fixed point linearization","fix","sigma[1]",0.314659024587283,0.3
41,200,0.02,"Fixed point linearization","fix","sigma[2]",0.475502062625006,0.5
42,200,0.02,"Fixed point linearization","fix","epsilon",0.0534035693111451,0.1
42,200,0.02,"Fixed point linearization","fix","alpha",0.488578231808144,0.5
42,200,0.02,"Fixed point linearization","fix","gamma",1.30582684791278,1.5
42,200,0.02,"Fixed point linearization","fix","beta",0.907705595799535,1.4
42,200,0.02,"Fixed point linearization","fix","sigma[1]",0.310769340555685,0.3
42,200,0.02,"Fixed point linearization","fix","sigma[2]",0.49133607004245,0.5
43,200,0.02,"Fixed point linearization","fix","epsilon",0.0508601247526746,0.1
43,200,0.02,"Fixed point linearization","fix","alpha",0.513893526633075,0.5
43,200,0.02,"Fixed point linearization","fix","gamma",1.44016928471198,1.5
43,200,0.02,"Fixed point linearization","fix","beta",0.0794309002784155,1.4
43,200,0.02,"Fixed point linearization","fix","sigma[1]",0.334047598784654,0.3
43,200,0.02,"Fixed point linearization","fix","sigma[2]",0.503295619744215,0.5
44,200,0.02,"Fixed point linearization","fix","epsilon",0.0524588292397725,0.1
44,200,0.02,"Fixed point linearization","fix","alpha",0.489710635423353,0.5
44,200,0.02,"Fixed point linearization","fix","gamma",1.31966643170636,1.5
44,200,0.02,"Fixed point linearization","fix","beta",-0.0771674646262906,1.4
44,200,0.02,"Fixed point linearization","fix","sigma[1]",0.316389003157294,0.3
44,200,0.02,"Fixed point linearization","fix","sigma[2]",0.461667806326343,0.5
45,200,0.02,"Fixed point linearization","fix","epsilon",0.0517194539562653,0.1
45,200,0.02,"Fixed point linearization","fix","alpha",0.495458743555297,0.5
45,200,0.02,"Fixed point linearization","fix","gamma",1.28972727453317,1.5
45,200,0.02,"Fixed point linearization","fix","beta",0.111854691409558,1.4
45,200,0.02,"Fixed point linearization","fix","sigma[1]",0.3241355327521,0.3
45,200,0.02,"Fixed point linearization","fix","sigma[2]",0.506002538125673,0.5
46,200,0.02,"Fixed point linearization","fix","epsilon",0.0503443379474987,0.1
46,200,0.02,"Fixed point linearization","fix","alpha",0.494711944628526,0.5
46,200,0.02,"Fixed point linearization","fix","gamma",1.24050477150507,1.5
46,200,0.02,"Fixed point linearization","fix","beta",0.847649491640774,1.4
46,200,0.02,"Fixed point linearization","fix","sigma[1]",0.30126313047449,0.3
46,200,0.02,"Fixed point linearization","fix","sigma[2]",0.508145615028352,0.5
47,200,0.02,"Fixed point linearization","fix","epsilon",0.0515182037737304,0.1
47,200,0.02,"Fixed point linearization","fix","alpha",0.508457211419188,0.5
47,200,0.02,"Fixed point linearization","fix","gamma",1.21520930367028,1.5
47,200,0.02,"Fixed point linearization","fix","beta",0.187464251436553,1.4
47,200,0.02,"Fixed point linearization","fix","sigma[1]",0.335308423069354,0.3
47,200,0.02,"Fixed point linearization","fix","sigma[2]",0.503750548989747,0.5
48,200,0.02,"Fixed point linearization","fix","epsilon",0.0519862338135347,0.1
48,200,0.02,"Fixed point linearization","fix","alpha",0.498129310545399,0.5
48,200,0.02,"Fixed point linearization","fix","gamma",1.15611905121761,1.5
48,200,0.02,"Fixed point linearization","fix","beta",0.856673315572221,1.4
48,200,0.02,"Fixed point linearization","fix","sigma[1]",0.314845857649961,0.3
48,200,0.02,"Fixed point linearization","fix","sigma[2]",0.511181176642775,0.5
49,200,0.02,"Fixed point linearization","fix","epsilon",0.0531734767618467,0.1
49,200,0.02,"Fixed point linearization","fix","alpha",0.495569340192868,0.5
49,200,0.02,"Fixed point linearization","fix","gamma",1.01000630195533,1.5
49,200,0.02,"Fixed point linearization","fix","beta",0.0962158613065698,1.4
49,200,0.02,"Fixed point linearization","fix","sigma[1]",0.320040747553796,0.3
49,200,0.02,"Fixed point linearization","fix","sigma[2]",0.487157409619888,0.5
50,200,0.02,"Fixed point linearization","fix","epsilon",0.0501549780979929,0.1
50,200,0.02,"Fixed point linearization","fix","alpha",0.50739680579274,0.5
50,200,0.02,"Fixed point linearization","fix","gamma",1.01000057297928,1.5
50,200,0.02,"Fixed point linearization","fix","beta",0.163978460085775,1.4
50,200,0.02,"Fixed point linearization","fix","sigma[1]",0.332529060103148,0.3
50,200,0.02,"Fixed point linearization","fix","sigma[2]",0.478056013031731,0.5
51,200,0.02,"Fixed point linearization","fix","epsilon",0.0521717270944136,0.1
51,200,0.02,"Fixed point linearization","fix","alpha",0.509575671328339,0.5
51,200,0.02,"Fixed point linearization","fix","gamma",1.11597362507127,1.5
51,200,0.02,"Fixed point linearization","fix","beta",0.196323403426652,1.4
51,200,0.02,"Fixed point linearization","fix","sigma[1]",0.317533183493817,0.3
51,200,0.02,"Fixed point linearization","fix","sigma[2]",0.516376745118858,0.5
52,200,0.02,"Fixed point linearization","fix","epsilon",0.0524118427957318,0.1
52,200,0.02,"Fixed point linearization","fix","alpha",0.507329283228107,0.5
52,200,0.02,"Fixed point linearization","fix","gamma",1.10360238733548,1.5
52,200,0.02,"Fixed point linearization","fix","beta",0.160250477164406,1.4
52,200,0.02,"Fixed point linearization","fix","sigma[1]",0.322652192731452,0.3
52,200,0.02,"Fixed point linearization","fix","sigma[2]",0.505670755694872,0.5
53,200,0.02,"Fixed point linearization","fix","epsilon",0.0515546476329397,0.1
53,200,0.02,"Fixed point linearization","fix","alpha",0.500983728389568,0.5
53,200,0.02,"Fixed point linearization","fix","gamma",1.13742464250912,1.5
53,200,0.02,"Fixed point linearization","fix","beta",0.163334089248,1.4
53,200,0.02,"Fixed point linearization","fix","sigma[1]",0.31023233641962,0.3
53,200,0.02,"Fixed point linearization","fix","sigma[2]",0.516052687203668,0.5
54,200,0.02,"Fixed point linearization","fix","epsilon",0.0511086245640832,0.1
54,200,0.02,"Fixed point linearization","fix","alpha",0.501588082679478,0.5
54,200,0.02,"Fixed point linearization","fix","gamma",1.10999246399914,1.5
54,200,0.02,"Fixed point linearization","fix","beta",0.171494889631483,1.4
54,200,0.02,"Fixed point linearization","fix","sigma[1]",0.30288917017744,0.3
54,200,0.02,"Fixed point linearization","fix","sigma[2]",0.495569913098042,0.5
55,200,0.02,"Fixed point linearization","fix","epsilon",0.0501066186592548,0.1
55,200,0.02,"Fixed point linearization","fix","alpha",0.504730387533469,0.5
55,200,0.02,"Fixed point linearization","fix","gamma",1.01000656153359,1.5
55,200,0.02,"Fixed point linearization","fix","beta",0.274673119768684,1.4
55,200,0.02,"Fixed point linearization","fix","sigma[1]",0.31691658832563,0.3
55,200,0.02,"Fixed point linearization","fix","sigma[2]",0.506813010332959,0.5
56,200,0.02,"Fixed point linearization","fix","epsilon",0.0519600871142284,0.1
56,200,0.02,"Fixed point linearization","fix","alpha",0.491729024782106,0.5
56,200,0.02,"Fixed point linearization","fix","gamma",1.1924759192561,1.5
56,200,0.02,"Fixed point linearization","fix","beta",0.860179924382798,1.4
56,200,0.02,"Fixed point linearization","fix","sigma[1]",0.313126855478816,0.3
56,200,0.02,"Fixed point linearization","fix","sigma[2]",0.51104536643697,0.5
57,200,0.02,"Fixed point linearization","fix","epsilon",0.0520603084170618,0.1
57,200,0.02,"Fixed point linearization","fix","alpha",0.496117931287389,0.5
57,200,0.02,"Fixed point linearization","fix","gamma",1.4176054599496,1.5
57,200,0.02,"Fixed point linearization","fix","beta",-0.152907571160991,1.4
57,200,0.02,"Fixed point linearization","fix","sigma[1]",0.303128017753134,0.3
57,200,0.02,"Fixed point linearization","fix","sigma[2]",0.456252299674487,0.5
58,200,0.02,"Fixed point linearization","fix","epsilon",0.0514995912179985,0.1
