"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
40,200,0.02,"Fixed point linearization","fix","alpha",0.496690450915146,0.5
40,200,0.02,"Fixed point linearization","fix","gamma",1.4777182752491,1.5
40,200,0.02,"Fixed point linearization","fix","beta",0.758911202407708,0.6
40,200,0.02,"Fixed point linearization","fix","sigma[1]",0.305864169982754,0.3
40,200,0.02,"Fixed point linearization","fix","sigma[2]",0.51208154868236,0.5
41,200,0.02,"Fixed point linearization","fix","epsilon",0.105035274400925,0.1
41,200,0.02,"Fixed point linearization","fix","alpha",0.496855774064593,0.5
41,200,0.02,"Fixed point linearization","fix","gamma",1.28133085349581,1.5
41,200,0.02,"Fixed point linearization","fix","beta",0.673564548814904,0.6
41,200,0.02,"Fixed point linearization","fix","sigma[1]",0.295516365323361,0.3
41,200,0.02,"Fixed point linearization","fix","sigma[2]",0.509768071523699,0.5
42,200,0.02,"Fixed point linearization","fix","epsilon",0.10076492358035,0.1
42,200,0.02,"Fixed point linearization","fix","alpha",0.49775605770123,0.5
42,200,0.02,"Fixed point linearization","fix","gamma",1.41518897407774,1.5
42,200,0.02,"Fixed point linearization","fix","beta",0.801627968957494,0.6
42,200,0.02,"Fixed point linearization","fix","sigma[1]",0.296927553502185,0.3
42,200,0.02,"Fixed point linearization","fix","sigma[2]",0.505064525383412,0.5
43,200,0.02,"Fixed point linearization","fix","epsilon",0.101557960662612,0.1
43,200,0.02,"Fixed point linearization","fix","alpha",0.490525551693896,0.5
43,200,0.02,"Fixed point linearization","fix","gamma",1.37574016740123,1.5
43,200,0.02,"Fixed point linearization","fix","beta",0.813970300533828,0.6
43,200,0.02,"Fixed point linearization","fix","sigma[1]",0.30561217981753,0.3
43,200,0.02,"Fixed point linearization","fix","sigma[2]",0.502473799736088,0.5
44,200,0.02,"Fixed point linearization","fix","epsilon",0.106256206701292,0.1
44,200,0.02,"Fixed point linearization","fix","alpha",0.499675295253383,0.5
44,200,0.02,"Fixed point linearization","fix","gamma",1.43286430166387,1.5
44,200,0.02,"Fixed point linearization","fix","beta",0.833547128390021,0.6
44,200,0.02,"Fixed point linearization","fix","sigma[1]",0.323387214210015,0.3
44,200,0.02,"Fixed point linearization","fix","sigma[2]",0.498181612669345,0.5
45,200,0.02,"Fixed point linearization","fix","epsilon",0.0943344799566576,0.1
45,200,0.02,"Fixed point linearization","fix","alpha",0.490483555485256,0.5
45,200,0.02,"Fixed point linearization","fix","gamma",1.41880951234079,1.5
45,200,0.02,"Fixed point linearization","fix","beta",0.743979565160569,0.6
45,200,0.02,"Fixed point linearization","fix","sigma[1]",0.302411800598299,0.3
45,200,0.02,"Fixed point linearization","fix","sigma[2]",0.515167056948657,0.5
46,200,0.02,"Fixed point linearization","fix","epsilon",0.0984002200941624,0.1
46,200,0.02,"Fixed point linearization","fix","alpha",0.510590529354,0.5
46,200,0.02,"Fixed point linearization","fix","gamma",1.29514316112485,1.5
46,200,0.02,"Fixed point linearization","fix","beta",0.754246881763043,0.6
46,200,0.02,"Fixed point linearization","fix","sigma[1]",0.314651225257226,0.3
46,200,0.02,"Fixed point linearization","fix","sigma[2]",0.502910197272772,0.5
47,200,0.02,"Fixed point linearization","fix","epsilon",0.102980930545327,0.1
47,200,0.02,"Fixed point linearization","fix","alpha",0.495050889579985,0.5
47,200,0.02,"Fixed point linearization","fix","gamma",1.35672473578921,1.5
47,200,0.02,"Fixed point linearization","fix","beta",0.625167973831501,0.6
47,200,0.02,"Fixed point linearization","fix","sigma[1]",0.299698973282646,0.3
47,200,0.02,"Fixed point linearization","fix","sigma[2]",0.478218768339398,0.5
48,200,0.02,"Fixed point linearization","fix","epsilon",0.100644339032591,0.1
