"path","ratio","sub_h","method","parameter","estimate","truth"
57,200,0.02,"fix","sigma[2]",0.499035942681463,0.5
58,200,0.02,"fix","epsilon",0.098860167105431,0.1
58,200,0.02,"fix","alpha",0.496876842020478,0.5
58,200,0.02,"fix","gamma",1.01000209141054,1.5
58,200,0.02,"fix","beta",1.05133341253541,1.4
58,200,0.02,"fix","sigma[1]",0.303886623656502,0.3
58,200,0.02,"fix","sigma[2]",0.494058713800023,0.5
59,200,0.02,"fix","epsilon",0.099216884857471,0.1
59,200,0.02,"fix","alpha",0.498095755946882,0.5
59,200,0.02,"fix","gamma",1.42742939126455,1.5
59,200,0.02,"fix","beta",1.46967890941532,1.4
59,200,0.02,"fix","sigma[1]",0.298657001202964,0.3
59,200,0.02,"fix","sigma[2]",0.51065902012129,0.5
60,200,0.02,"fix","epsilon",0.100735897919828,0.1
60,200,0.02,"fix","alpha",0.499487999968763,0.5
60,200,0.02,"fix","gamma",1.55300362976778,1.5
60,200,0.02,"fix","beta",1.33741224400315,1.4
60,200,0.02,"fix","sigma[1]",0.297504719040231,0.3
60,200,0.02,"fix","sigma[2]",0.487175546333675,0.5
61,200,0.02,"fix","epsilon",0.102137008021715,0.1
61,200,0.02,"fix","alpha",0.499639362957182,0.5
61,200,0.02,"fix","gamma",1.59598982607803,1.5
61,200,0.02,"fix","beta",1.48220070816011,1.4
61,200,0.02,"fix","sigma[1]",0.29706862417323,0.3
61,200,0.02,"fix","sigma[2]",0.484833365009878,0.5
62,200,0.02,"fix","epsilon",0.100505364322906,0.1
62,200,0.02,"fix","alpha",0.501399547940508,0.5
62,200,0.02,"fix","gamma",1.6379727717674,1.5
62,200,0.02,"fix","beta",1.34529687008514,1.4
62,200,0.02,"fix","sigma[1]",0.312296056001133,0.3
62,200,0.02,"fix","sigma[2]",0.495944370810698,0.5
63,200,0.02,"fix","epsilon",0.100415021293125,0.1
63,200,0.02,"fix","alpha",0.492757459278755,0.5
63,200,0.02,"fix","gamma",1.57427312421345,1.5
63,200,0.02,"fix","beta",1.61883191001653,1.4
63,200,0.02,"fix","sigma[1]",0.302904272592687,0.3
63,200,0.02,"fix","sigma[2]",0.5048805776792,0.5
64,200,0.02,"fix","epsilon",0.102413062466802,0.1
64,200,0.02,"fix","alpha",0.498073884887123,0.5
64,200,0.02,"fix","gamma",1.12932948857275,1.5
64,200,0.02,"fix","beta",1.20200206974174,1.4
64,200,0.02,"fix","sigma[1]",0.303632874444674,0.3
64,200,0.02,"fix","sigma[2]",0.506329783578798,0.5
65,200,0.02,"fix","epsilon",0.103484517777373,0.1
65,200,0.02,"fix","alpha",0.495024954448975,0.5
65,200,0.02,"fix","gamma",1.42912152177026,1.5
65,200,0.02,"fix","beta",1.24198491496451,1.4
65,200,0.02,"fix","sigma[1]",0.304283727536241,0.3
65,200,0.02,"fix","sigma[2]",0.50837779446494,0.5
66,200,0.02,"fix","epsilon",0.09883660623191,0.1
66,200,0.02,"fix","alpha",0.502188086514381,0.5
66,200,0.02,"fix","gamma",1.01000022956345,1.5
66,200,0.02,"fix","beta",0.950440935633177,1.4
66,200,0.02,"fix","sigma[1]",0.304249683439316,0.3
66,200,0.02,"fix","sigma[2]",0.485078072873978,0.5
67,200,0.02,"fix","epsilon",0.099871200519856,0.1
67,200,0.02,"fix","alpha",0.506377226445805,0.5
67,200,0.02,"fix","gamma",1.63554380640204,1.5
67,200,0.02,"fix","beta",1.4595960589965,1.4
67,200,0.02,"fix","sigma[1]",0.299258704643184,0.3
67,200,0.02,"fix","sigma[2]",0.498107392258708,0.5
68,200,0.02,"fix","epsilon",0.100633986015809,0.1
68,200,0.02,"fix","alpha",0.503041591830853,0.5
68,200,0.02,"fix","gamma",1.3173501368302,1.5
68,200,0.02,"fix","beta",1.26863640757383,1.4
68,200,0.02,"fix","sigma[1]",0.296491605752682,0.3
68,200,0.02,"fix","sigma[2]",0.494289217343529,0.5
69,200,0.02,"fix","epsilon",0.101546927660396,0.1
69,200,0.02,"fix","alpha",0.507849852554129,0.5
69,200,0.02,"fix","gamma",1.23855345104262,1.5
69,200,0.02,"fix","beta",0.990474399787735,1.4
69,200,0.02,"fix","sigma[1]",0.307606101508462,0.3
69,200,0.02,"fix","sigma[2]",0.498649478146305,0.5
70,200,0.02,"fix","epsilon",0.0978685480097285,0.1
70,200,0.02,"fix","alpha",0.508827812376173,0.5
70,200,0.02,"fix","gamma",1.39766822257891,1.5
70,200,0.02,"fix","beta",1.31007819808429,1.4
70,200,0.02,"fix","sigma[1]",0.30881921616842,0.3
70,200,0.02,"fix","sigma[2]",0.497728407939416,0.5
71,200,0.02,"fix","epsilon",0.0987692417008775,0.1
71,200,0.02,"fix","alpha",0.498914455785745,0.5
71,200,0.02,"fix","gamma",1.40991935886853,1.5
71,200,0.02,"fix","beta",1.06555452243995,1.4
71,200,0.02,"fix","sigma[1]",0.304372575229748,0.3
71,200,0.02,"fix","sigma[2]",0.520034168638846,0.5
72,200,0.02,"fix","epsilon",0.0988653740522457,0.1
72,200,0.02,"fix","alpha",0.507013108791241,0.5
72,200,0.02,"fix","gamma",1.17892734796169,1.5
