"path","ratio","sub_h","method","parameter","estimate","truth"
87,100,0.01,"random","y",-0.0788141440165491,-0.05
87,100,0.01,"random","sigma",1.6867450349607,1.7
88,100,0.01,"random","epsilon",0.0942660811539249,0.1
88,100,0.01,"random","y",-0.0107544407086549,-0.05
88,100,0.01,"random","sigma",1.67879900767651,1.7
89,100,0.01,"random","epsilon",0.100941892462626,0.1
89,100,0.01,"random","y",-0.0435363379033764,-0.05
89,100,0.01,"random","sigma",1.67105756949739,1.7
90,100,0.01,"random","epsilon",0.0992456630136165,0.1
90,100,0.01,"random","y",-0.0571344619740443,-0.05
90,100,0.01,"random","sigma",1.7279301592593,1.7
91,100,0.01,"random","epsilon",0.0997329505070114,0.1
91,100,0.01,"random","y",-0.0702516717885144,-0.05
91,100,0.01,"random","sigma",1.71768028152538,1.7
92,100,0.01,"random","epsilon",0.105753935636537,0.1
92,100,0.01,"random","y",-0.016240220303711,-0.05
92,100,0.01,"random","sigma",1.70603154100522,1.7
93,100,0.01,"random","epsilon",0.0978010400881857,0.1
93,100,0.01,"random","y",-0.0446638998848438,-0.05
93,100,0.01,"random","sigma",1.7372830017054,1.7
94,100,0.01,"random","epsilon",0.0962387840130306,0.1
94,100,0.01,"random","y",-0.0247087029360733,-0.05
94,100,0.01,"random","sigma",1.71552004070662,1.7
95,100,0.01,"random","epsilon",0.0867960334136173,0.1
95,100,0.01,"random","y",-0.00459313741598059,-0.05
95,100,0.01,"random","sigma",1.66510844557599,1.7
96,100,0.01,"random","epsilon",0.0860464069413904,0.1
96,100,0.01,"random","y",-0.013920952260187,-0.05
96,100,0.01,"random","sigma",1.72531598929322,1.7
97,100,0.01,"random","epsilon",0.0989826571889953,0.1
97,100,0.01,"random","y",-0.00374455903736958,-0.05
97,100,0.01,"random","sigma",1.71371585568288,1.7
98,100,0.01,"random","epsilon",0.0905890102860521,0.1
98,100,0.01,"random","y",0.00883260543515716,-0.05
98,100,0.01,"random","sigma",1.7134003933721,1.7
99,100,0.01,"random","epsilon",0.11198041550592,0.1
99,100,0.01,"random","y",-0.117608576416113,-0.05
99,100,0.01,"random","sigma",1.68568013628817,1.7
100,100,0.01,"random","epsilon",0.102117752444106,0.1
100,100,0.01,"random","y",-0.0566484370708781,-0.05
100,100,0.01,"random","sigma",1.6816782639986,1.7
101,100,0.01,"random","epsilon",0.0938483434294205,0.1
101,100,0.01,"random","y",-0.076172102660847,-0.05
101,100,0.01,"random","sigma",1.63246035618269,1.7
102,100,0.01,"random","epsilon",0.0968460334562382,0.1
102,100,0.01,"random","y",-0.0573908906207001,-0.05
102,100,0.01,"random","sigma",1.6846013954569,1.7
